facultad,turno,dia_semana,tipo_pedido,metodo_pago,nivel_academico,semana_mes,gasto_total,tiempo_espera_min,calificacion_servicio,items_pedido,propina_porcentaje
Ingeniería,Tarde,Martes,Almuerzo,Débito,Pregrado,2,4.19,12.9,3.5,2,1.3
Ingeniería,Tarde,Martes,Almuerzo,Débito,Pregrado,3,3.46,11.7,3.8,3,2.4
Ingeniería,Tarde,Martes,Almuerzo,Efectivo,Pregrado,1,5.05,13.0,3.7,2,2.3
Ingeniería,Tarde,Martes,Bebida,Efectivo,Pregrado,4,0.89,10.5,3.8,1,7.3
Ingeniería,Tarde,Martes,Colación,QR,Postgrado,4,2.9,11.3,2.9,1,11.0
Ingeniería,Tarde,Martes,Almuerzo,Efectivo,Pregrado,3,6.3,18.5,3.9,3,4.6
Ingeniería,Tarde,Martes,Colación,Efectivo,Pregrado,2,1.58,11.6,3.7,4,0.9
Ingeniería,Tarde,Martes,Colación,QR,Postgrado,1,3.73,13.4,3.4,3,5.1
Ingeniería,Tarde,Martes,Bebida,Débito,Pregrado,4,2.5,13.1,3.7,3,6.7
Ingeniería,Tarde,Miércoles,Bebida,Débito,Pregrado,4,2.37,10.8,3.7,1,7.2
Ingeniería,Tarde,Miércoles,Bebida,Efectivo,Pregrado,2,0.8,3.6,4.3,1,7.5
Ingeniería,Tarde,Miércoles,Colación,QR,Pregrado,2,3.97,14.7,3.4,1,3.3
Ingeniería,Tarde,Miércoles,Colación,Débito,Pregrado,1,2.63,10.5,4.8,1,8.4
Ingeniería,Tarde,Miércoles,Colación,Débito,Pregrado,1,2.53,10.8,4.0,2,8.2
Ingeniería,Tarde,Miércoles,Almuerzo,Débito,Pregrado,2,5.18,14.4,4.4,2,0.2
Ingeniería,Tarde,Miércoles,Colación,Efectivo,Pregrado,2,2.4,6.9,4.0,1,4.5
Ingeniería,Tarde,Miércoles,Bebida,Débito,Pregrado,2,1.83,4.3,4.5,1,5.2
Ingeniería,Tarde,Miércoles,Snack,QR,Postgrado,1,3.19,13.8,3.2,4,11.5
Ingeniería,Tarde,Miércoles,Bebida,Débito,Pregrado,1,0.8,9.3,4.0,1,5.8
Ingeniería,Tarde,Miércoles,Snack,QR,Postgrado,3,2.19,16.3,4.5,1,14.4
Ingeniería,Tarde,Miércoles,Almuerzo,Débito,Pregrado,4,4.71,14.7,3.4,3,6.8
Ingeniería,Tarde,Miércoles,Almuerzo,Efectivo,Pregrado,3,3.91,15.3,4.1,4,6.7
Ingeniería,Tarde,Miércoles,Almuerzo,Efectivo,Pregrado,1,5.44,18.2,3.9,2,3.1
Ingeniería,Tarde,Viernes,Almuerzo,QR,Pregrado,1,4.0,12.7,3.9,2,3.4
Ingeniería,Tarde,Viernes,Almuerzo,Efectivo,Postgrado,3,5.33,13.3,4.7,1,7.9
Ingeniería,Tarde,Viernes,Almuerzo,Débito,Postgrado,2,6.57,17.1,2.5,8,12.9
Ingeniería,Tarde,Viernes,Bebida,Débito,Pregrado,3,1.8,13.0,4.8,6,4.4
Ingeniería,Tarde,Viernes,Bebida,Débito,Postgrado,3,2.24,10.7,4.1,1,9.3
Ingeniería,Tarde,Viernes,Almuerzo,Efectivo,Pregrado,3,4.32,15.7,3.7,1,5.1
Ingeniería,Tarde,Viernes,Bebida,Débito,Pregrado,1,2.23,11.3,3.9,1,5.8
Ingeniería,Tarde,Viernes,Colación,QR,Pregrado,2,3.08,15.5,3.9,1,8.0
